"Date/Time","Lat","Lon"
"2014-08-08 15:54:00",40.7453,-73.9885
"2014-08-08 15:54:00",40.7559,-73.9946
"2014-08-08 15:54:00",40.7799,-73.9825
"2014-08-08 15:54:00",40.7684,-73.8625
"2014-08-08 15:54:00",40.7697,-73.9621
"2014-08-08 15:54:00",40.742,-73.9849
"2014-08-08 15:54:00",40.742,-73.9849
"2014-08-08 15:54:00",40.6777,-73.986
"2014-08-08 15:54:00",40.7384,-73.9898
"2014-08-08 15:54:00",40.672,-74.0102
"2014-08-08 15:54:00",40.7074,-74.0092
"2014-08-08 15:55:00",40.7607,-73.9716
"2014-08-08 15:55:00",40.7734,-73.9818
"2014-08-08 15:55:00",40.7574,-73.9892
"2014-08-08 15:55:00",40.7511,-73.9889
"2014-08-08 15:55:00",40.7433,-73.9858
"2014-08-08 15:55:00",40.7081,-74.0085
"2014-08-08 15:55:00",40.7601,-73.9718
"2014-08-08 15:55:00",40.7378,-73.9937
"2014-08-08 15:55:00",40.703,-73.9866
"2014-08-08 15:55:00",40.7738,-73.8714
"2014-08-08 15:55:00",40.7441,-73.9914
"2014-08-08 15:55:00",40.7528,-73.9857
"2014-08-08 15:55:00",40.7317,-74.0038
"2014-08-08 15:55:00",40.8243,-73.9394
"2014-08-08 15:55:00",40.725,-74.0076
"2014-08-08 15:55:00",40.7506,-73.9861
"2014-08-08 15:55:00",40.6877,-74.1814
"2014-08-08 15:55:00",40.742,-74.0074
"2014-08-08 15:55:00",40.8341,-73.9482
"2014-08-08 15:55:00",40.7474,-73.9935
"2014-08-08 15:55:00",40.7165,-73.9884
"2014-08-08 15:55:00",40.6387,-73.9989
"2014-08-08 15:56:00",40.6915,-73.9379
"2014-08-08 15:56:00",40.7627,-73.9838
"2014-08-08 15:56:00",40.7339,-73.99
"2014-08-08 15:56:00",40.7738,-73.9659
"2014-08-08 15:56:00",40.7446,-74.0066
"2014-08-08 15:56:00",40.7738,-73.9606
"2014-08-08 15:56:00",40.7567,-73.9722
"2014-08-08 15:56:00",40.7645,-73.9732
"2014-08-08 15:56:00",40.7723,-73.9673
"2014-08-08 15:56:00",40.7638,-73.9788
"2014-08-08 15:56:00",40.7646,-73.9562
"2014-08-08 15:56:00",40.7284,-73.9942
"2014-08-08 15:56:00",40.7497,-73.9879
"2014-08-08 15:56:00",40.7406,-73.9944
"2014-08-08 15:56:00",40.7443,-73.9835
"2014-08-08 15:57:00",40.765,-73.9706
"2014-08-08 15:57:00",40.726,-73.9979
"2014-08-08 15:57:00",40.7556,-73.9775
"2014-08-08 15:57:00",40.7634,-73.9812
"2014-08-08 15:57:00",40.7084,-74.0006
"2014-08-08 15:57:00",40.7641,-73.9816
"2014-08-08 15:57:00",40.7276,-73.9367
"2014-08-08 15:57:00",40.7494,-73.9794
"2014-08-08 15:57:00",40.7859,-73.946
"2014-08-08 15:57:00",40.7335,-73.9991
"2014-08-08 15:57:00",40.7653,-73.9754
"2014-08-08 15:57:00",40.7355,-73.998
"2014-08-08 15:57:00",40.7027,-74.0113
"2014-08-08 15:58:00",40.7562,-73.9749
"2014-08-08 15:58:00",40.762,-73.9677
"2014-08-08 15:58:00",40.7727,-74.0206
"2014-08-08 15:58:00",40.7537,-73.9803
"2014-08-08 15:58:00",40.7748,-73.9824
"2014-08-08 15:58:00",40.7813,-73.9565
"2014-08-08 15:58:00",40.7246,-73.9818
"2014-08-08 15:58:00",40.7325,-73.997
"2014-08-08 15:58:00",40.7086,-73.9381
"2014-08-08 15:58:00",40.6866,-73.8299
"2014-08-08 15:58:00",40.7407,-73.993
"2014-08-08 15:58:00",40.7493,-73.9883
